"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Create file","LMS service","Sun May 17 09:06:17 UTC 2026","passed","Sun May 17 09:06:17 UTC 2026","Create entity","Files","",""
"","626","Create user","LMS service","Sun May 17 09:06:20 UTC 2026","passed","Sun May 17 09:06:21 UTC 2026","Create entity","Users","",""
"","339","Update course","LMS service","Sun May 17 09:06:12 UTC 2026","passed","Sun May 17 09:06:12 UTC 2026","Update entity","Courses","",""
"","613","Create user","LMS service","Sun May 17 09:06:20 UTC 2026","passed","Sun May 17 09:06:20 UTC 2026","Create entity","Users","",""
"","323","Create user","LMS service","Sun May 17 09:06:20 UTC 2026","passed","Sun May 17 09:06:21 UTC 2026","Create entity","Users","",""
"","26","Get courses","LMS service","Sun May 17 09:06:12 UTC 2026","passed","Sun May 17 09:06:12 UTC 2026","Get entities","Courses","",""
"","29","Create course","LMS service","Sun May 17 09:06:13 UTC 2026","passed","Sun May 17 09:06:13 UTC 2026","Create entity","Courses","",""
"","13","Get user me","LMS service","Sun May 17 09:06:22 UTC 2026","passed","Sun May 17 09:06:22 UTC 2026","Get entity","Users","",""
"","26","Delete file","LMS service","Sun May 17 09:06:20 UTC 2026","passed","Sun May 17 09:06:20 UTC 2026","Delete entity","Files","",""
"","299","Create file with empty directory","LMS service","Sun May 17 09:06:19 UTC 2026","passed","Sun May 17 09:06:19 UTC 2026","Validate entity","Files","",""
"","323","Get exercises","LMS service","Sun May 17 09:06:16 UTC 2026","passed","Sun May 17 09:06:16 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Sun May 17 09:06:18 UTC 2026","passed","Sun May 17 09:06:18 UTC 2026","Get entity","Files","",""
"","328","Update exercise","LMS service","Sun May 17 09:06:14 UTC 2026","passed","Sun May 17 09:06:15 UTC 2026","Update entity","Exercises","",""
"","28","Get exercise","LMS service","Sun May 17 09:06:15 UTC 2026","passed","Sun May 17 09:06:15 UTC 2026","Get entity","Exercises","",""
"","301","Create file with empty filename","LMS service","Sun May 17 09:06:18 UTC 2026","passed","Sun May 17 09:06:18 UTC 2026","Validate entity","Files","",""
"","624","Login with correct email and password","LMS service","Sun May 17 09:06:11 UTC 2026","passed","Sun May 17 09:06:11 UTC 2026","Login","Authentication","",""
"","299","Get file with incorrect file id","LMS service","Sun May 17 09:06:20 UTC 2026","passed","Sun May 17 09:06:20 UTC 2026","Validate entity","Files","",""
"","29","Delete exercise","LMS service","Sun May 17 09:06:16 UTC 2026","passed","Sun May 17 09:06:16 UTC 2026","Delete entity","Exercises","",""
"","331","Create exercise","LMS service","Sun May 17 09:06:14 UTC 2026","passed","Sun May 17 09:06:14 UTC 2026","Create entity","Exercises","",""
